,eng,fre
130,Hold on.,Resista.
131,Hold on.,Resiste.
132,Hold on.,Agarra fuertemente.
133,Hug Tom.,Abraza a Tom.
134,I agree.,Estoy de acuerdo.
135,I agree.,De acuerdo.
136,I bowed.,Me incliné.
137,I moved.,Me he mudado.
138,I moved.,Me mudé.
139,I moved.,Me trasladé.
140,I moved.,Me he trasladado.
141,I slept.,Dormí.
142,I tried.,Lo intenté.
143,I'll go.,Iré.
144,I'm Tom.,Soy Tom.
145,I'm fat.,Estoy gordo.
146,I'm fat.,Soy gorda.
147,I'm fit.,Estoy en forma.
148,I'm hit!,Estoy afectado.
149,I'm old.,Soy viejo.
150,I'm shy.,Soy tímido.
151,I'm wet.,Estoy mojada.
152,It's OK.,Está bien.
153,It's me!,Soy yo.
154,It's me.,Soy yo.
155,Join us.,Únete a nosotros.
156,Join us.,Sé parte nuestra.
157,Keep it.,Guárdalo.
158,"Me, too.","Yo, también."
159,Open up.,Abre.
160,Perfect!,¡Perfecto!
161,See you.,Nos vemos.
162,Show me.,Muéstramelo.
163,Show me.,Enséñamelo.
164,Show me.,Mostrame.
165,Shut up!,¡Cierra la boca!
166,Shut up!,¡Cerrá el pico!
167,Skip it.,Sáltatelo.
168,So long.,Hasta la vista.
169,So long.,Hasta luego.
170,Stop it.,Páralo.
171,Stop it.,Deténlo.
172,Take it.,Cógelo.
173,Tell me.,Decime.
174,Tom ate.,Tom comió.
175,Tom ran.,Tom corrió.
176,Tom won.,Tom ganó.
177,Wait up.,Espérame despierto.
178,Wake up!,¡Despierta!
179,Wake up!,¡Despiértate!
180,Wake up!,¡Despertate!
181,Wake up.,Despierta.
182,Wash up.,Lávate las manos.
183,We care.,Nos preocupamos.
184,We know.,Lo sabemos.
185,We lost.,Perdimos.
186,Welcome.,Bienvenidos.
187,Welcome.,Bienvenidas.
188,Who ate?,¿Quién comió?
189,Who ran?,¿Quién corría?
190,Who ran?,¿Quién corrió?
191,Who won?,¿Quién ganó?
192,Who won?,¿Quién ha ganado?
193,Why not?,¿Por qué no?
194,You run.,Corre.
195,You won.,Has ganado.
196,Am I fat?,¿Estoy gordo?
197,Ask them.,Preguntales.
198,Ask them.,Pregúntales.
199,Back off!,Aparta.
200,Back off.,Apártate.
201,Be a man.,Sé un hombre.
202,Be brave.,Sé fuerte.
203,Be brief.,Sé breve.
204,Be brief.,Sea breve.
205,Be brief.,Sean breves.
206,Be quiet.,Estate quieto.
207,Be still.,No te muevas.
208,Call Tom.,¡Llamalo a Tomás!
209,Call Tom.,¡Llámalo a Tomás!
210,Call Tom.,¡Llámenlo a Tomás!
211,Cheer up!,Anímate.
212,Cheer up.,Venga.
213,Cool off!,¡Cálmate!
214,Cuff him.,Espósale.
215,Don't go.,No te vayas.
216,Drive on.,Continúa.
217,Find Tom.,Encontralo a Tomás.
218,Find Tom.,Encuéntralo a Tomás.
219,Find Tom.,Encuéntrelo a Tomás.
220,Find Tom.,Encuéntrenlo a Tomás.
221,Find Tom.,Encuentre a Tom.
222,Find Tom.,Encuentren a Tom.
223,Fix this.,Arregla esto.
224,Get away!,¡Vete de aquí!
225,Get away!,¡Lárgate!
226,Get away!,¡Largo!
227,Get away!,¡Vete ya!
228,Get down!,Ponte a ello.
229,Get down.,Abajo.
230,Get down.,Túmbate.
231,Get lost!,¡Piérdete!
232,Get lost!,¡Vete de aquí!
233,Get lost!,¡Lárgate!
234,Get lost!,¡Largo!
235,Get lost!,¡Vete ya!
236,Get lost.,Esfúmate.
237,Get real!,¡Despierta!
238,Get real!,¡Piénsalo bien!
239,Get real.,Abre los ojos.
240,Go ahead!,Adelante.
241,Go ahead.,Adelante.
242,Go on in.,Entre.
243,Go on in.,Entra.
244,Go on in.,Entren.
245,Go on in.,Entrá.
246,Go on in.,Entrad.
247,Good job!,¡Buen trabajo!
248,Grab Tom.,Sujeta a Tom.
249,Grab him.,Agárralo.
250,Have fun.,Diviértanse.
251,Have fun.,Pásala bien.
252,Have fun.,Pásenla bien.
253,He spoke.,Él habló.
254,He tries.,Él lo intenta.
255,He tries.,Él prueba.
256,Help Tom.,Ayuda a Tom.
257,Help him.,Ayúdalo.
258,"Hi, guys.","Hola, ¿qué hay?"
259,"Hi, guys.","Ey, chavales."
260,"Hi, guys.","¿Qué pasa, troncos?"
261,"Hi, guys.",Buenas.
262,"Hi, guys.",¿Qué tal os va?
263,"Hi, guys.",Hola por aquí.
264,How cute!,¡Qué encanto!
265,How deep?,¿Qué tan profundo?
266,How deep?,¿Cómo de profundo?
267,Humor me.,Hazme el favor.
268,Humor me.,Compláceme.
269,Hurry up.,¡Date prisa!
270,Hurry up.,Apresúrate.
271,I agreed.,Convine.
272,I agreed.,Acepté.
273,I agreed.,Accedí.
274,I am fat.,Soy gorda.
275,I am old.,Estoy viejo.
276,I ate it.,Me lo comí.
277,I ate it.,Me la comí.
278,I can go.,Puedo ir.
279,I did OK.,Lo hice bien.
280,I did it.,Lo hice.
281,I failed.,Fracasé.
282,I forgot.,Lo olvidé.
283,I get by.,Me las arreglo.
284,I get it.,Lo entiendo.
285,I got it.,Lo tengo.
286,I phoned.,Llamé por teléfono.
287,I refuse.,Me niego.
288,I resign.,Dimito.
289,I resign.,Renuncio.
290,I saw it.,Lo vi.
291,I smiled.,Sonreí.
292,I stayed.,Me quedé.
293,I talked.,Hablé.
294,I talked.,Hablaba.
295,I talked.,Charlé.
296,I talked.,Charlaba.
297,I use it.,Yo lo uso.
298,I waited.,Esperé.
299,I'll pay.,Yo pagaré.
300,I'm back.,He vuelto.
301,I'm back.,Estoy de vuelta.
302,I'm bald.,Soy calvo.
303,I'm bald.,Estoy calvo.
304,I'm calm.,Estoy calmado.
305,I'm cool.,Estoy tranquilo.
306,I'm done.,He terminado.
307,I'm easy.,Soy bastante facilón.
308,I'm fair.,Soy justo.
309,I'm fine.,Estoy perfectamente.
310,I'm free!,¡Soy libre!
311,I'm free.,Yo soy libre.
312,I'm full.,Estoy lleno.
313,I'm full.,Estoy llena.
314,I'm full.,Ya me llené.
315,I'm here.,Estoy aquí.
316,I'm home.,Estoy en casa.
317,I'm hurt.,Estoy herido.
318,I'm late.,Llego tarde.
319,I'm lazy.,Soy vago.
320,I'm lost.,Estoy perdida.
321,I'm mean.,Soy malo.
322,I'm next.,Me toca a mí.
323,I'm okay.,Estoy perfectamente.
324,I'm poor.,Soy pobre.
325,I'm rich.,Soy rica.
326,I'm rich.,Soy rico.
327,I'm safe.,Estoy a salvo.
328,I'm sick.,Estoy enferma.
329,I'm thin.,Soy delgado.
330,I'm tidy.,Estoy limpio.
331,I'm warm.,Estoy calentito.
332,I'm weak.,Estoy débil.
333,I'm wise.,Soy listo.
334,I've won.,Gané.
335,It helps.,Eso ayuda.
336,It hurts.,Duele.
337,It works.,Funciona.
338,It's Tom.,Es Tom.
339,It's fun.,Es divertido.
340,It's his.,Es suyo.
341,It's new.,Es nuevo.
342,It's odd.,Es extraño.
343,It's old.,Es viejo.
344,It's red.,Es rojo.
345,It's sad.,Es triste.
346,Keep out!,Prohibido pasar.
347,Keep out.,No entrar.
348,Kiss Tom.,Besá a Tomás.
349,Kiss Tom.,Besa a Tomás.
350,Kiss Tom.,Besen a Tomás.
351,Leave it.,Déjalo.
352,Leave me.,Déjame.
353,Leave us.,Déjanos.
354,Let's go!,Vamos.
355,Let's go!,¡Órale!
356,Look out!,Cuidado.
357,Marry me.,Cásate conmigo.
358,May I go?,¿Puedo ir?
359,Save Tom.,Salva a Tom.
360,She came.,Ella vino.
361,She died.,Ella murió.
362,She runs.,Ella corre.
363,Sit down!,¡Sentate!
364,Sit down.,Siéntate.
365,Sit here.,Siéntate aquí.
366,Speak up!,¡Hable más fuerte!
367,Speak up!,Habla más fuerte.
368,Speak up!,¡Habla más alto!
369,Stand by.,Prepárate.
370,Stand by.,Un momento.
371,Stand up!,¡Parate!
372,Stand up!,¡De pie!
373,Stay put.,No te muevas.
374,Stop Tom.,Detén a Tom.
375,Take Tom.,Llévate a Tom.
376,Tell Tom.,Díselo a Tom.
377,Terrific!,¡Genial!
378,Terrific!,¡Órale!
379,They won.,Ellos ganaron.
380,Tom came.,Tom vino.
381,Tom died.,Tom ha muerto.
382,Tom fell.,Tom se cayó.
383,Tom knew.,Tom lo sabía.
384,Tom knew.,Tom tenía constancia de ello.
385,Tom left.,Tom se fue.
386,Tom lied.,Tom mintió.
387,Tom lies.,Tomás miente.
388,Tom lost.,Tom perdió.
389,Tom paid.,Tom pagó.
390,Tom quit.,Tom renunció.
391,Tom swam.,Tom nadó.
392,Tom wept.,Tom lloró.
393,Tom's up.,Tom se ha levantado.
394,Too late.,Demasiado tarde.
395,Trust me.,Confía en mí.
396,Try hard.,Inténtalo de veras.
397,Try some.,Prueba un poco.
398,Try some.,Pruebe un poco.
399,Try some.,Prueben un poco.
400,Try this.,Prueben esto.
401,Try this.,Probá esto.
402,Try this.,Prueba esto.
403,Use this.,Usa esto.
404,Warn Tom.,Avísale a Tom.
405,Warn Tom.,Avísele a Tom.
406,Warn Tom.,Avísenle a Tom.
407,Warn Tom.,Avisale a Tom.
408,Watch me.,Mírame.
409,Watch me.,Vigílame.
410,Watch me.,Obsérvame.
411,Watch us.,Obsérvalos.
412,Watch us.,Obsérvanos.
413,We agree.,Estamos de acuerdo.
414,We tried.,Lo intentamos.
415,We'll go.,Iremos.
416,We're OK.,Estamos bien.
417,What for?,¿Para qué?
418,What fun!,¡Qué divertido!
419,Who am I?,¿Quién soy yo?
420,Who came?,¿Quién vino?
421,Who died?,¿Quién murió?
422,Who fell?,¿Quién se calló?
423,Who fell?,¿Quién se cayó?
424,Who quit?,¿Quién se ha ido?
425,Who quit?,¿Quién lo ha dejado?
426,Who swam?,¿Quién nadó?
427,Who's he?,¿Quién es él?
428,Write me.,Escríbeme.
429,After you.,Después de ti.
430,After you.,Tú primero.
431,After you.,Usted primero.
432,After you.,Después de usted.
433,After you.,Después de vosotras.
434,Aim. Fire!,Apunta. ¡Fuego!
435,Answer me.,Respóndeme.
436,Answer me.,Respondedme.
437,Answer me.,Respóndanme.
438,Birds fly.,Los pájaros vuelan.
439,Bless you.,Jesús.
440,Call home!,¡Llama a casa!
441,Calm down.,Cálmate.
442,Calm down.,Tranquilízate.
443,Calm down.,Tomátelo con soda.
444,Calm down.,Bajá un cambio.
445,Can we go?,¿Podemos ir?
446,Can we go?,¿Podemos irnos?
447,Can we go?,¿Podemos marcharnos?
448,Catch Tom.,¡Atrápelo a Tomás!
449,Catch him.,Captúralo.
450,Catch him.,Captúrenlo.
451,Catch him.,Atrápenlo.
452,Catch him.,Atrápalo.
453,Come back.,Vuelve.
454,Come here.,Vení.
455,Come here.,Ven.
456,Come here.,Venid aquí.
457,Come home.,Ven a casa.
458,Come over.,Venid aquí.
459,Come over.,Vente.
460,Come over.,Veníos.
461,Come over.,Venga aquí.
462,Come soon.,Vuelve pronto.
463,Do it now.,Hazlo ahora.
464,Dogs bark.,Los perros ladran.
465,Don't ask.,No preguntes.
466,Don't cry.,No llores.
467,Don't cry.,¡No llorés!
468,Don't cry.,¡No llores!
469,Don't cry.,No lloren.
470,Don't lie.,No mintáis.
471,Don't run.,No corras.
472,Fantastic!,¡Fantástico!
473,Fantastic!,¡Es estupendo!
474,Fantastic!,¡Órale!
475,Feel this.,Tienta esto.
476,Feel this.,Tiente esto.
477,Feel this.,Tienten esto.
478,Feel this.,Tentad esto.
479,Feel this.,Tentá esto.
480,Follow me.,Sígueme.
481,Follow me.,Seguidme.
482,Follow us.,Síguenos.
483,Forget it.,Déjalo.
484,Forget me.,Olvídame.
485,Forget me.,Olvídate de mí.
486,Forget me.,Olvídenme.
487,Forget me.,Olvídense de mí.
488,Get ready.,Preparaos.
489,Go for it.,Ve a por ello.
490,Go for it.,Ve a cogerlo.
491,Go get it.,Ve a por ello.
492,Go get it.,Vete a por ello.
493,Go get it.,Id a por ello.
494,Go inside.,Entra.
495,Go to bed.,Vete a la cama.
496,Grab that.,Cógelo.
497,Grab this.,Agarra esto.
498,Have some.,Coge alguno.
499,Have some.,Toma algo.
500,Have some.,Tome alguno.
501,He is old.,Él es viejo.
502,He is old.,Él es anciano.
503,He shaved.,Él se afeitó.
504,He smiled.,Sonrió.
505,He's a DJ.,Él es DJ.
506,He's fast.,Él es veloz.
507,He's good.,Él es bueno.
508,He's rich.,Él es rico.
509,He's rich.,Es rico.
510,Here I am.,Acá estoy.
511,Hold this.,Sostén esto.
512,How awful!,¡Qué horror!
513,How weird!,¡Qué raro!
514,How's Tom?,¿Cómo está Tom?
515,Humor Tom.,Divierte a Tom.
516,I am busy.,Estoy ocupada.
517,I am full.,Estoy lleno.
518,I am full.,Estoy llena.
519,I am good.,Soy bueno.
520,I am here.,Estoy aquí.
521,I am sick.,Estoy enferma.
522,I am weak.,Estoy débil.
523,I beg you.,Te lo ruego.
524,I beg you.,Te lo suplico.
525,I can fly.,Puedo volar.
526,I can run.,Puedo correr.
527,I can run.,Sé correr.
528,I can ski.,Sé esquiar.
529,I cringed.,Sentí vergüenza.
530,I fainted.,Perdí la consciencia.
531,I fainted.,Quedé inconsciente.
532,I gave up.,Lo dejé.
533,I gave up.,Me rendí.
534,I gave up.,Tiré la toalla.
535,I gave up.,Cedí.
536,I get you.,Te entiendo.
537,I get you.,Te pillo.
538,I get you.,Ya te pillo.
539,I got hit.,Me dieron.
540,I got hit.,Me alcanzaron.
541,I hate it.,Lo odio.
542,I hate it.,Me la seca.
543,I hate it.,Me la baja.
544,I hit Tom.,Golpeo a Tom.
545,I hope so.,Eso espero.
546,I knew it.,Lo sabía.
547,I laughed.,Me reí.
548,I like it.,Me gusta.
549,I love it!,¡Lo adoro!
550,I love it.,Me encanta.
551,I mean it!,Hablo en serio.
552,I mean it.,Lo digo en serio.
553,I mean it.,Hablo en serio.
554,I miss it.,Lo echo en falta.
555,I miss it.,Lo echo de menos.
556,I miss it.,Lo añoro.
557,I need it.,Lo necesito.
558,I saw Tom.,Vi a Tom.
559,I saw him.,Le vi.
560,I saw him.,Lo vi.
561,I saw one.,Vi uno.
562,I saw one.,Vi a uno.
563,I saw one.,Veía a uno.
564,I saw you.,Te vi.
565,I saw you.,Te he visto.
566,I see Tom.,Veo a Tom.
567,I tripped.,Me tropecé.
568,I'll cook.,Yo cocinaré.
569,I'll cook.,Yo guisaré.
570,I'll live.,Viviré.
571,I'll sing.,Cantaré.
572,I'll stop.,Pararé.
573,I'll stop.,Lo dejaré.
574,I'll wait.,Esperaré.
575,I'll wait.,Aguardaré.
576,I'll walk.,Caminaré.
577,I'll walk.,Andaré.
578,I'll work.,Voy a trabajar.
579,I'm a man.,Soy un hombre.
580,I'm a pro.,Soy un pro.
581,I'm alone.,Estoy solo.
582,I'm alone.,Estoy sola.
583,I'm alone.,Yo estoy solo.
584,I'm alone.,Yo estoy sola.
585,I'm angry.,Estoy enojado.
586,I'm angry.,Estoy enojada.
587,I'm awake.,Estoy despierto.
588,I'm blind.,Soy ciega.
589,I'm broke.,Estoy sin dinero.
590,I'm broke.,Estoy quebrado.
591,I'm broke.,Estoy sin blanca.
592,I'm broke.,No tengo blanca.
593,I'm crazy.,Estoy loco.
594,I'm drunk.,Estoy borracho.
595,I'm drunk.,Estoy tomada.
596,I'm drunk.,Estoy prendida.
597,I'm dying.,Me estoy muriendo.
598,I'm first.,Soy el primero.
599,I'm first.,Voy el primero.
600,I'm first.,Me toca primero.
601,I'm first.,Yo voy primero.
602,I'm happy.,Soy feliz.
603,I'm happy.,Estoy feliz.
604,I'm loved.,Soy amado.
605,I'm loved.,Soy amada.
606,I'm obese.,Soy obeso.
607,I'm ready.,Estoy listo.
608,I'm sorry.,Lo siento.
609,I'm tired.,Yo estoy cansado.
610,I'm tired.,Yo estoy cansada.
611,I'm yours.,Soy tuyo.
612,I'm yours.,Soy tuya.
613,I'm yours.,Soy suyo.
614,I've lost.,He perdido.
615,Ignore it.,Ólvidalo.
616,Ignore it.,No hagas caso.
617,Is Tom OK?,¿Está bien Tom?
618,Is Tom in?,¿Está Tom?
619,Is it bad?,¿Es grave?
620,Is it bad?,¿Es malo?
621,Is it far?,¿Está lejos?
622,Is it you?,¿Eres tú?
623,It burned.,Se quemó.
624,It failed.,No lo consiguió.
625,It failed.,Falló.
626,It failed.,Fracasó.
627,It is new.,Es nuevo.
628,It rained.,Llovió.
629,It snowed.,Nevó.
630,It stinks.,Apesta.
631,It worked.,Funcionó.
632,It's 3:10.,Son las tres y diez.
633,It's 8:30.,Son las 8:30.
634,It's a TV.,Es un televisor.
635,It's cold.,Hace frío.
636,It's cold.,Está frío.
637,It's cool.,Está frío.
638,It's cool.,Está fresco.
639,It's dark.,Está oscuro.
640,It's done!,¡Está listo!
641,It's fine.,Está perfecto.
642,It's good.,Está bien.
643,It's good.,Es bueno.
644,It's here.,Está aquí.
645,It's hers.,Es de ella.
646,It's late.,Es tarde.
647,It's mine.,Es mío.
648,It's mine.,Es mía.
649,It's nice.,Es agradable.
650,It's nice.,Hace buen tiempo.
651,It's okay.,Vale.
652,It's okay.,Está bien.
653,It's ours.,Es nuestro.
654,It's ours.,Es la nuestra.
655,It's over.,Se terminó.
656,It's over.,Se acabó.
657,It's time.,Ha llegado el momento.
658,It's time.,Es la hora.
659,It's time.,Es el momento.
660,It's time.,Ha llegado la hora.
661,It's true!,¡Es verdad!
662,It's true.,Es verdad.
663,It's work.,Es mi trabajo.
664,Keep them.,Guárdalos.
665,Keep them.,Quédatelos.
666,Keep them.,Guárdenselos.
667,Keep this.,Guarda esto.
668,Keep this.,Guarde esto.
669,Keep this.,Guardá esto.
670,Keep this.,Guardad esto.
671,Keep this.,Guarden esto.
672,Keep warm.,Mantente caliente.
673,Keep warm.,Manténgase caliente.
674,Keep warm.,Mantenete caliente.
675,Keep warm.,Mantenete abrigado.
676,Keep warm.,Mantente abrigado.
677,Keep warm.,Manténgase abrigado.
678,Keep warm.,Manténganse calientes.
679,Keep warm.,Manténganse abrigados.
680,Leave Tom.,Dejalo a Tomás.
681,Leave Tom.,Déjalo a Tomás.
682,Leave Tom.,Déjelo a Tomás.
683,Leave now.,Ahora márchate.
684,Leave now.,Ahora vete.
685,Leave now.,Ahora lárgate.
686,Let me go!,¡Déjame marchar!
687,Let me go!,¡Suéltame!
688,Let me go!,¡Déjeme ir!
689,Let me go.,¡Déjeme ir!
690,Let me in.,Déjame entrar.
691,Let me in.,Déjeme entrar.
692,Let us in.,Déjanos entrar.
693,Let's eat.,Comamos.
694,Let's see.,Veamos.
695,Let's try!,¡Intentémoslo!
696,Lie still.,Túmbate en silencio.
697,Lie still.,Mantente quieto en el suelo.
698,Listen up.,Escuchá.
699,Look away.,Mirá para otro lado.
700,Look away.,Mira para otro lado.
701,Look away.,Mire para otro lado.
702,Look away.,Miren para otro lado.
703,Look back!,¡Mira hacia atrás!
704,Look back.,Mira atrás.
705,Look back.,Mire atrás.
706,Look back.,Mirad atrás.
707,Look here.,Mira aquí.
708,Look here.,Mirad aquí.
709,Look here.,Miren aquí.
710,Loosen it.,Aflójalo.
711,Loosen it.,Suéltalo.
712,Loosen it.,Suéltala.
713,Loosen it.,Aflójala.
714,Move over.,Hazte a un lado.
715,Move over.,Deja sitio.
716,Move over.,Mueve el culo.
717,Move over.,Deja pasar.
718,Nice shot!,¡Buen tiro!
719,Of course!,¡Por supuesto!
720,Open fire!,¡Disparad!
721,Open fire!,¡Fuego a discreción!
722,Pardon me?,¿Perdona?
723,Please go.,"Por favor, ve."
724,Please go.,"Por favor, vete."
725,Please go.,"Por favor, márchate."
726,Please go.,"Por favor, váyase."
727,Put it on.,Póntelo.
728,Put it on.,Póngaselo.
729,Read this.,Lee esto.
730,Read this.,Lea esto.
731,Read this.,Lean esto.
732,Read this.,Leed esto.
733,Say hello.,Decí hola.
734,Search me.,A mí que me registren.
735,See above.,Véase arriba.
736,See above.,Véase más arriba.
737,Seize him!,¡A por él!
738,Seize him!,¡Cogedlo!
739,Seize him!,¡Arrestadlo!
740,Seize him!,¡Prendedlo!
741,Seize him!,¡Capturadlo!
742,Seriously?,¿En serio?
743,She tried.,Ella lo intentó.
744,She tried.,Ella lo probó.
745,She walks.,Ella anda.
746,She walks.,Ella camina.
747,She walks.,Anda.
748,She's hot.,Ella es candente.
749,She's hot.,Está como un tren.
750,She's hot.,Está de toma pan y moja.
751,She's hot.,Está buena.
752,She's hot.,Está que cruje.
753,Sign here.,Firme aquí.
754,Sign this.,Firma esto.
755,Sign this.,Firme esto.
756,Sign this.,Firmen esto.
757,Sign this.,Firmá esto.
758,Sign this.,Firmad esto.
759,Sit still.,Siéntate y no te muevas.
760,Sit still.,Siéntate y quédate quieto.
761,Sit there.,Sentate ahí.
762,Sit tight.,Tú mantente.
763,Slow down.,Quieto.
764,Slow down.,Más despacio.
765,Stay away.,Fuera.
766,Stay away.,Aléjate.
767,Stay calm.,Mantén la calma.
768,Stay calm.,Mantené la calma.
769,Stay here.,Quedate acá.
770,Step back.,Da un paso atrás.
771,Stop here.,Para aquí.
772,Stop here.,Párate aquí.
773,Stop here.,Detente aquí.
774,Stop here.,Deténgase aquí.
775,Stop here.,Deténganse aquí.
776,Stop here.,Paraos aquí.
777,Stop here.,Parad aquí.
778,Stop that.,Para eso.
779,Stop them.,Deténlos.
780,Stop them.,Párales.
781,Take care!,¡Cuidate!
782,Take care!,¡Te cuidas!
783,Take care.,Cuídate.
784,Take care.,Cuidaos.
785,Take mine.,Coge el mío.
786,Take mine.,Toma el mío.
787,Take over.,Asume el mando.
788,Take over.,Toma el control.
789,Take over.,Encárgate tú.
790,Take this.,Toma esto.
791,Take this.,Tome esto.
792,Take this.,Tomen esto.
793,Take this.,Tomá esto.
794,Thank you.,¡Gracias!
795,Thank you.,Gracias a ti.
796,Thank you.,Gracias.
797,That's it.,Eso es.
798,That's me.,Soy yo.
799,That's me.,Ese soy yo.
800,Then what?,¿Entonces qué?
801,They fell.,Cayeron.
802,They left.,Se fueron.
803,They left.,Se marcharon.
804,They left.,Se iban.
805,They lost.,Perdieron.
806,Tom bowed.,Tom se inclinó.
807,Tom cared.,Tom se preocupó.
808,Tom cared.,Tom se preocupaba.
809,Tom cared.,A Tom le importaba.
810,Tom cares.,Tom se preocupa.
811,Tom cares.,A Tom le importa.
812,Tom cried.,Tom lloró.
813,Tom dozed.,Tom dormitó.
814,Tom drove.,Tomás condujo.
815,Tom is OK.,Tom está bien.
816,Tom is in.,Tom está dentro.
817,Tom is up.,Tom está levantado.
818,Tom knits.,Tom teje.
819,Tom knows.,Tom sabe.
820,Tom moved.,Tom se mudó.
821,Tom moved.,Tom se movió.
822,Tom rocks.,Tom se mece.
823,Tom stood.,Tom se quedó.
824,Tom swims.,Tom nada.
825,Tom swore.,Tom juró.
826,Tom tried.,Tomás lo intentó.
827,Tom tries.,Tomás lo intenta.
828,Tom voted.,Tomás votó.
829,Tom walks.,Tom camina.
830,Tom waved.,Tom saludó.
831,Tom works.,Tomás trabaja.
832,Tom'll go.,Tom irá.
833,Tom's fat.,Tom está gordo.
834,Tom's mad.,Tom está loco.
835,Tom's sad.,Tom está triste.
836,Tom's shy.,Tom es tímido.
837,Trust Tom.,Confía en Tom.
838,Try again.,Inténtalo de nuevo.
839,Try again.,Intentadlo otra vez.
840,Try again.,Intenta otra vez.
841,Try it on.,Pruébatelo.
842,Wait here.,Espera aquí.
843,Wait here.,Aguarda aquí.
844,Wait here.,Esperen aquí.
845,Wait here.,Esperad aquí.
846,Watch Tom.,Vigila a Tom.
847,Watch out!,¡Abusado!
848,We can go.,Podemos ir.
849,We can go.,Podemos irnos.
850,We can go.,Nos podemos marchar.
851,We failed.,Fallamos.
852,We failed.,Hemos fallado.
853,We forgot.,Nos olvidamos.
854,We saw it.,Lo vimos.
855,We saw it.,Lo veíamos.
856,We talked.,Conversamos.
857,We waited.,Nosotros esperamos.
858,We'll see.,Después veremos.
859,We'll see.,Ya veremos.
860,We'll try.,Lo intentaremos.
